"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Nepal",2007,1.19,2.28312508,3.01,42.374416,6.408112,41216.2402291142,0.548
"Netherlands",2007,12.75,7.98048949,1.72,351.30093,0.58951,20019.071035356,0.921
"New Zealand",2007,19.39,6.88339971,2.11,279.47028,0.779104,22126.1550774459,0.905
"Nicaragua",2007,2.77,3.79240418,2.57,110.86144,3.107113,26212.3919678106,0.633
"Niger",2007,0.75,2.66286468,7.57,29.016397,19.152039,69424.4495027498,0.336
"Nigeria",2007,2.29,1.47272881,5.93,187.41425,16.910782,71814.2497002907,0.512
"North Macedonia",2007,6.04,4.44586774,1.48,226.70114,1.397909,26362.0996940439,0.74
"Norway",2007,15.38,7.21922701,1.9,727.05273,0.46963,20578.4715558689,0.942
"Oman",2007,19.72,1.96828933,2.89,110.8308,1.456975,27226.1129808019,0.804
"Pakistan",2007,2.1,0.79883224,3.98,91.844238,10.5832,54105.416038161,0.535
"Panama",2007,3.38,4.04887818,2.64,259.8764,2.57164,24251.3061239429,0.771
"Papua New Guinea",2007,1.47,3.12384321,4.16,4.9086056,8.228262,73546.8268891631,0.53
"Paraguay",2007,23.23,2.69218657,2.91,165.36765,3.287416,28868.3766252209,0.68
"Peru",2007,2.51,2.41462309,2.62,153.44363,2.848576,25127.0192384995,0.729
"Philippines",2007,1.67,1.36782652,3.35,107.08127,4.09294,38398.9164733888,0.677
"Poland",2007,11.05,4.42036017,1.34,259.06812,0.85888,26408.7170177778,0.836
"Portugal",2007,7.53,6.50671263,1.38,598.58893,0.56937,21424.7613559107,0.829
"Qatar",2007,64.84,1.94332117,2.31,413.67935,1.22755,25186.4312539277,0.844
"Romania",2007,6.75,4.27889109,1.43,119.4924,1.725824,30107.8608369074,0.795
"Russia",2007,18.24,3.45289119,1.41,265.70554,1.5458,41376.3075851703,0.798
"Rwanda",2007,0.52,3.78019362,4.9,23.882195,11.445391,60291.0995170476,0.5
"Saint Lucia",2007,3.06,2.97986528,1.6,386.74722,2.16408,27633.6914199933,0.73
"Saint Vincent and the Grenadines",2007,2.54,3.2201202,2.13,68.172668,2.5912,30877.8186001625,0.718
"Samoa",2007,1.79,4.50978288,4.45,34.458405,2.2924,30767.302512888,0.697
"Sao Tome and Principe",2007,1.04,2.13790765,4.93,55.177338,6.632296,42995.4705369375,0.551
"Saudi Arabia",2007,16.63,2.50739775,3.24,239.06044,1.735912,28261.2241602607,0.835
"Senegal",2007,3.99,2.33251243,5.11,37.825432,10.388872,50752.2212322336,0.476
"Seychelles",2007,9.25,3.0607288,2.29,35.240108,1.725488,29033.5446632318,0.77
"Sierra Leone",2007,4.75,1.64537592,5.62,65.013458,21.732356,83283.3334168917,0.407
"Singapore",2007,10.86,0.95538986,1.29,863.15656,0.38971,17176.4719541592,0.92
"Slovenia",2007,11.36,5.77392957,1.4,283.0025,0.499544,23002.9632574752,0.877
"Solomon Islands",2007,8.94,5.95416561,4.41,6.030818,3.285319,49837.5677834238,0.529
"South Africa",2007,10.07,3.39852724,2.64,78.52256,8.917654,83320.0196530499,0.664
"South Korea",2007,11.82,3.27931791,1.16,615.99817,0.619328,20135.5849218546,0.89
"Spain",2007,9.73,6.09879015,1.38,542.20764,0.559472,18912.2154995154,0.873
"Sri Lanka",2007,1.4,1.82597645,2.27,77.767746,1.655136,27112.0713617799,0.757
"Sudan",2007,19.65,1.5118424,5.03,154.79648,9.65143,48205.261131133,0.485
"Suriname",2007,4.84,2.9772981,2.61,81.802673,3.118618,36158.6715342534,0.711
"Sweden",2007,7.79,7.25478868,1.89,557.0246,0.42967,19271.4898990271,0.908
"Switzerland",2007,7.17,6.03241843,1.46,1472.6918,0.57952,18856.9485683979,0.935
"Tajikistan",2007,2.03,1.1847518,3.49,69.41391,5.608876,37196.5267220631,0.642
"Tanzania",2007,4.82,3.03847116,5.58,35.345539,9.879562,65165.0929619664,0.506
"Thailand",2007,5.87,2.72044587,1.56,56.181793,2.08153,26631.5597035994,0.731
"Togo",2007,3.23,2.15757357,5.06,32.363308,12.30351,67744.771525297,0.466
"Tonga",2007,1.5,4.76281829,4.06,26.144812,2.023988,33690.1492681436,0.717
"Trinidad and Tobago",2007,39.19,2.37526743,1.79,584.81995,3.589504,31236.1684372395,0.774
"Tunisia",2007,3.26,2.95239633,2.02,212.69011,2.46139,26242.2918765167,0.719
"Turkey",2007,5.84,4.09521858,2.21,187.17374,2.91691,26094.4586239285,0.76
"Turkmenistan",2007,17.8,1.38814815,2.67,268.70377,6.999168,44232.7800435094,0.686
"Uganda",2007,3.41,2.46180943,6.42,65.376045,11.245894,73368.0074558346,0.492
"Ukraine",2007,9.55,3.93045394,1.34,176.76788,1.645846,39264.4463079726,0.743
"United Arab Emirates",2007,27.79,1.55537724,2.01,555.66718,1.10818,31926.7518793782,0.846
"United Kingdom",2007,10.54,6.7944811,1.84,285.1492,0.689362,21372.3159081309,0.898
"United States",2007,23.67,7.01636006,2.12,964.47321,0.918845,24509.6109082196,0.918
"Uruguay",2007,10.15,4.5932749,2.13,146.62398,1.487206,25949.269527672,0.79
"Uzbekistan",2007,6.47,2.29868748,2.46,78.31456,4.695142,40794.8798861193,0.683
"Vanuatu",2007,2.02,3.16168153,3.68,7.673769,3.384556,50337.3116896947,0.592
"Venezuela",2007,10.12,2.4647812,2.56,394.58893,2.074084,28009.7615928705,0.774
"Vietnam",2007,2.99,2.56355227,1.91,73.557167,2.809723,29378.5075588343,0.67
"Yemen",2007,1.67,1.46278958,5.09,158.99472,7.322239,47920.3102202207,0.505
"Zambia",2007,26.8,1.88582202,5.64,33.987766,11.577724,87284.3122177502,0.569
"Afghanistan",2006,0.57,1.06242003,6.65,85.484283,11.673741,75742.3191710595,0.471
"Albania",2006,2.68,2.57513609,1.7,198.4292,1.91488,26156.2747774616,0.752
"Algeria",2006,4.49,2.33485067,2.58,110.72371,3.684271,28473.318654917,0.736
"Angola",2006,1.8,3.02243534,6.42,43.589069,18.353818,73556.8130322449,0.535
"Antigua and Barbuda",2006,5.13,2.95010588,2.2,217.02803,1.377355,25732.6549293035,0.762
"Argentina",2006,9.44,3.65486893,2.43,363.34641,1.885492,26509.1564427322,0.819
"Armenia",2006,2.96,2.05288205,1.3,197.44423,2.386022,28425.846496004,0.731
"Australia",2006,54.09,5.66088659,1.89,593.5119,0.669384,19891.7339120471,0.925
"Austria",2006,11.57,7.73793279,1.41,649.05286,0.589472,20341.028544208,0.897
"Azerbaijan",2006,5.72,0.86418436,1.82,467.44757,5.25052,41211.45600892,0.741
"Bahamas",2006,11.95,3.2726021,1.87,443.86206,1.805002,29860.6095621872,0.793
"Bahrain",2006,26.21,2.12525065,2.37,250.98839,1.287322,26194.4271492011,0.798
"Bangladesh",2006,1.07,1.03883019,2.52,30.138929,7.309375,44603.3134278188,0.557
"Belarus",2006,9.84,4.45040013,1.36,155.38704,1.028104,36842.6249346348,0.798
"Belgium",2006,12.78,6.96237046,1.78,592.50372,0.609412,21453.3105029098,0.904
"Belize",2006,4.39,2.66925097,2.98,95.680511,2.441966,31793.1848844082,0.702
"Benin",2006,4.43,2.38575093,5.58,33.009167,14.65789,62298.4119190745,0.479
"Bhutan",2006,2.93,4.29057998,2.73,25.952318,6.489616,39036.8476625237,0.575
"Bolivia",2006,17.69,3.52134079,3.51,63.408611,6.47424,39323.7956653705,0.655
"Bosnia and Herzegovina",2006,6.03,4.97996984,1.29,295.12222,0.998796,25245.9847726911,0.721
"Botswana",2006,23.08,3.47911415,2.95,31.672655,7.354812,79513.2797996506,0.673
"Brazil",2006,8.58,3.49265209,1.93,329.04184,2.632777,31744.5625811311,0.731
"Brunei",2006,35.64,1.92907794,1.82,243.3573,1.387062,26246.3169729904,0.846
"Bulgaria",2006,9.2,3.80081285,1.38,316.16019,1.5265,30003.92763355,0.782
"Burkina Faso",2006,2.99,3.74106496,6.19,18.683737,17.526295,74195.7596677464,0.385
"Burundi",2006,0.72,3.52882934,6.62,26.474895,15.38092,81374.4669675651,0.403
"Cambodia",2006,7.58,1.23528857,3.16,63.13644,7.158124,48753.1473096257,0.546
"Cameroon",2006,6.92,1.07609231,5.31,82.898262,15.65335,72941.9932235111,0.515
"Canada",2006,27.48,6.78840782,1.6,553.18091,0.71928,20242.5036332395,0.905
"Central African Republic",2006,141.71,1.92399024,5.35,14.763309,18.152744,117224.49443957,0.358
"Chad",2006,12.25,1.1289788,6.99,49.719612,19.638356,82987.81727096,0.382
"Chile",2006,6.25,2.51761735,1.96,383.92853,1.088362,23354.5197533655,0.814
"China",2006,6.54,1.83853832,1.57,128.35583,2.532335,26590.7702555693,0.714
"Colombia",2006,3.46,4.53504231,2.16,101.1626,2.47202,25931.1455948476,0.725
"Comoros",2006,0.62,2.50715151,5.17,105.22208,10.435554,47434.8899131133,0.487
"Congo",2006,9.88,1.49403276,5.03,38.828938,9.78026,70610.0656305834,0.56
"Costa Rica",2006,2.49,5.39731393,2.03,231.71144,1.247816,21326.1036810115,0.76
"Cote d'Ivoire",2006,1.46,1.35840382,5.38,88.577507,14.9675,75426.4523070762,0.445
"Croatia",2006,6.82,5.98464188,1.4,161.97437,0.769168,25054.0240520737,0.815
"Cyprus",2006,8.38,2.66382124,1.5,799.53363,0.619264,21453.238581353,0.853
"Czechia",2006,14.43,5.80540882,1.35,171.91159,0.539467,23971.3433842092,0.865
"Democratic Republic of Congo",2006,16.31,0.93899133,6.66,9.5808897,16.201792,76090.5922407818,0.415
"Denmark",2006,13.38,8.39954917,1.85,497.92749,0.55954,21864.7380205392,0.922
"Djibouti",2006,2.7,4.70273219,3.74,39.500866,9.071852,54435.3126904626,0.454
"Dominican Republic",2006,3.16,1.78160583,2.72,203.72957,4.054028,32224.4798292023,0.706
"Ecuador",2006,3.47,1.42365577,2.76,281.97739,2.639926,29704.6575338414,0.721
"Egypt",2006,3.28,2.28751928,3,237.00308,3.91344,40811.1703688938,0.668
"El Salvador",2006,1.93,4.15313881,2.47,148.0957,2.819098,31473.4301800212,0.666
"Equatorial Guinea",2006,7.19,1.46745206,5.5,268.2381,15.231392,58335.7111964711,0.584
"Eritrea",2006,1.1,1.47045053,4.88,26.419523,8.205993,76616.4964609162,0.417
"Estonia",2006,14.57,3.67354922,1.58,240.22643,0.86857,30078.3915070184,0.853
"Eswatini",2006,2.36,4.55922204,3.82,57.020786,13.213339,123662.132423366,0.55
"Ethiopia",2006,2.22,2.52940563,5.52,10.857494,13.327467,66266.7538016748,0.423
"Fiji",2006,2.35,3.01236199,2.82,35.878307,2.916194,43528.9533295947,0.717
"Finland",2006,16.74,6.27918843,1.84,543.11853,0.479568,22000.5900346005,0.907
"France",2006,8.6,8.17318341,1.96,244.59181,0.54955,19708.1747405681,0.884
"Gabon",2006,9.67,1.23508614,4.19,200.78978,8.864956,61124.9964189421,0.67
"Gambia",2006,2.52,3.24463094,5.81,15.830222,11.064781,55292.5619599571,0.44
"Georgia",2006,2.86,1.7716621,1.71,281.98102,2.553025,29396.4565541114,0.741
"Germany",2006,12.07,7.85851875,1.36,503.06021,0.55954,20383.8857729947,0.926
"Ghana",2006,4.71,3.04422816,4.44,73.359444,9.973525,59325.4673304658,0.563
"Grenada",2006,6.09,3.20818176,2.32,282.09793,1.65636,27674.1924978298,0.747
"Guatemala",2006,2.02,2.38932787,3.83,240.28482,4.608628,37410.202049745,0.619
"Guinea",2006,10.27,0.66542757,5.65,29.609224,15.214222,73730.8217166075,0.418
"Guinea-Bissau",2006,7.4,1.06854651,5.31,34.390411,16.11277,80488.0696199402,0.435
"Guyana",2006,6.2,3.04494427,2.8,66.706421,4.51164,42100.6561137039,0.639
"Haiti",2006,0.87,1.35559353,3.67,34.18272,10.517344,60483.974378971,0.477
"Honduras",2006,2.21,3.48897019,3.33,138.61154,3.374152,33143.7134977904,0.598
"Hungary",2006,7.46,5.65115926,1.31,357.28635,0.86892,29198.4537303025,0.827
"Iceland",2006,13.93,7.34951034,2.09,572.56195,0.419659,18462.3999440445,0.901
"India",2006,1.92,1.11061062,2.9,83.335754,8.160256,47678.4214907476,0.591
"Indonesia",2006,10.36,0.91258309,2.51,99.115868,4.680622,38650.8643157315,0.669
"Iran",2006,8.7,2.56809019,1.81,393.17426,2.839996,32301.2801547428,0.766
"Iraq",2006,4.68,1.91357157,4.55,87.283333,4.634611,42395.3187118478,0.656
"Ireland",2006,16.73,5.44387862,1.99,470.09433,0.599424,21200.6734937977,0.895
"Israel",2006,10.43,4.70256022,2.92,472.74045,0.659311,20189.7375222273,0.892
"Italy",2006,9.69,6.74359729,1.38,584.22382,0.539527,18973.9885807252,0.875
"Jamaica",2006,5.27,2.31021091,2.33,96.166862,2.3332,24682.2287609228,0.715
"Japan",2006,11.15,6.59643924,1.32,421.95648,0.45964,17399.406895743,0.89
"Jordan",2006,3.85,4.48990028,3.73,265.36987,2.79938,28983.5700027109,0.726
"Kazakhstan",2006,21.22,2.3057194,2.37,219.7265,3.376522,45352.9927574545,0.772
"Kenya",2006,1.35,1.62431466,4.76,41.646267,8.698209,66432.537965824,0.552
"Kuwait",2006,36.64,1.82620292,2.45,341.79907,1.4071,22120.7164090646,0.794
"Kyrgyzstan",2006,2.05,3.27699724,2.65,73.546913,4.106805,42288.2238061286,0.639
"Laos",2006,4.29,1.14702119,3.52,66.619362,11.092948,57244.1944471958,0.558
"Latvia",2006,6.34,4.35785714,1.43,320.53595,1.267228,35029.4020156143,0.821
"Lebanon",2006,4.18,3.63188247,1.68,439.54941,1.487642,26628.4133147816,0.76
"Lesotho",2006,1.1,4.17571059,3.47,30.129944,13.454355,120451.185065045,0.498
"Liberia",2006,0.73,2.00429446,5.37,16.24675,14.287061,66157.2950774457,0.417
"Libya",2006,12.13,1.64016681,2.46,209.58897,2.698282,29545.1106607083,0.707
"Lithuania",2006,7.36,4.30671585,1.35,304.98776,1.117825,34029.9002022911,0.828
"Luxembourg",2006,28.55,6.59737985,1.63,705.19495,0.409762,21134.7549081841,0.892
"Madagascar",2006,5.68,2.81771162,4.96,24.05591,9.538492,58933.9614232451,0.504
"Malawi",2006,1.12,6.19490826,5.83,4.8385024,12.581369,99620.3416455823,0.45
"Malaysia",2006,9.19,2.01181669,2.25,202.84813,1.0976,25961.2670542824,0.778
"Mali",2006,6.32,2.73683072,6.76,49.016476,18.844936,72458.3787335445,0.408
"Malta",2006,7.54,6.0463127,1.38,608.75854,0.789252,20557.1174950592,0.843
"Mauritania",2006,3.57,1.44761643,5.14,75.179558,12.19152,45681.9740528936,0.49
"Mexico",2006,5.83,2.56034516,2.46,408.56244,2.264258,25894.6241725252,0.751
"Moldova",2006,3.42,4.71868436,1.23,156.04858,2.193829,38159.3655985547,0.677
"Mongolia",2006,14.77,2.39691359,2.24,57.019215,4.19442,49182.6686609396,0.711
"Morocco",2006,2.31,1.71440251,2.57,154.10757,4.262428,37039.0857285102,0.626
"Mozambique",2006,13.99,3.95098184,5.71,4.1820431,15.051382,89892.2309062456,0.407
"Namibia",2006,18.04,3.12912009,3.64,25.676456,7.898782,81518.3875671219,0.607
"Nepal",2006,1.19,2.04487497,3.15,27.134819,6.7618,41952.633243736,0.535
"Netherlands",2006,12.96,7.97446453,1.72,342.82217,0.619439,20393.8690259935,0.921
"New Zealand",2006,19.96,6.92299577,2.09,331.63116,0.799025,22180.9438251277,0.902
"Nicaragua",2006,2.76,3.47305169,2.62,95.187569,3.2661,26572.3584646342,0.627
"Niger",2006,0.72,3.17549705,7.59,28.118185,20.183725,71605.499631418,0.325
"Nigeria",2006,2.23,1.20460086,5.96,184.49728,17.551255,73861.3670455925,0.494
"North Macedonia",2006,5.6,4.87674973,1.5,235.05409,1.487642,26655.7161860601,0.738
"Norway",2006,15.31,7.06288776,1.9,707.86475,0.499571,20776.7458436395,0.943
"Oman",2006,19.7,1.86459776,2.91,103.40251,1.4869,27288.3915013058,0.795
"Pakistan",2006,2,0.7887748,4.02,89.891357,10.754164,55140.5086478216,0.53
"Panama",2006,3.53,4.7207796,2.64,228.0849,2.631225,24369.6583848851,0.764
"Papua New Guinea",2006,2.19,5.05912292,4.21,4.7914271,8.37532,73854.2503699425,0.529
"Paraguay",2006,11.41,2.61001499,2.97,150.75012,3.386476,29575.6343410223,0.68
"Peru",2006,2.1,2.39214585,2.65,129.88115,3.0074,25828.6877479731,0.729
"Philippines",2006,2.29,1.45218711,3.43,96.696091,4.18144,38820.1056827858,0.67
"Poland",2006,11.1,4.31321008,1.32,238.12108,0.888832,26463.7568035115,0.839
"Portugal",2006,7.73,6.5834602,1.4,566.99042,0.599296,21627.0178967158,0.826
"Qatar",2006,67.37,2.17208218,2.43,447.64548,1.257475,25629.4853271112,0.836
"Romania",2006,6.81,4.03078579,1.4,116.74975,1.924978,31010.7669065438,0.798
"Russia",2006,19.22,3.35436078,1.3,236.66789,1.645264,43442.1346489029,0.789
"Rwanda",2006,0.55,4.98059157,5.02,22.30164,12.742491,64669.3266245536,0.493
"Saint Lucia",2006,2.98,3.11488098,1.63,321.5647,2.163928,28160.6315471635,0.734
"Saint Vincent and the Grenadines",2006,2.46,3.18355196,2.15,64.332443,2.61112,31211.1310555963,0.717
"Samoa",2006,1.8,3.92556654,4.46,31.512415,2.31232,30819.5464667816,0.697
"Sao Tome and Principe",2006,0.97,2.54103778,4.97,61.129082,7.053758,43848.9690725615,0.548
"Senegal",2006,5.06,3.14990161,5.13,33.89933,11.111536,52463.1487787867,0.467
"Sierra Leone",2006,4.61,1.96169533,5.75,58.286198,22.576391,84716.1956083726,0.392
"Singapore",2006,11,1.00109055,1.28,824.30322,0.399681,17477.9935586202,0.914
"Slovenia",2006,11.35,6.12238299,1.36,247.26762,0.51952,23289.6180225083,0.884
"Solomon Islands",2006,9.01,6.20550744,4.46,5.7991304,3.344772,49640.5041214192,0.514
"South Africa",2006,9.72,3.36093291,2.66,80.130302,9.536935,85303.7462730213,0.657
"South Korea",2006,11.68,3.14560441,1.16,560.66815,0.66922,20523.478354551,0.888
"Spain",2006,9.69,6.00532064,1.37,513.04083,0.56946,19058.3627335321,0.87
"Sri Lanka",2006,1.32,1.95005921,2.28,65.694435,1.715005,27764.1998388337,0.751
"Sudan",2006,14.36,1.27056271,5.09,112.23956,9.98085,49291.2125153723,0.474
"Suriname",2006,5.03,3.17779314,2.64,82.87925,3.22768,36957.1903833728,0.706
"Sweden",2006,8.17,7.25951611,1.87,522.39063,0.43966,19381.7725236803,0.906
"Switzerland",2006,7.45,6.14173785,1.44,1361.9747,0.58951,19110.7056158723,0.932
"Tajikistan",2006,1.89,1.12905378,3.49,56.428123,5.984624,37503.6771937602,0.637
"Tanzania",2006,4.12,4.76350573,5.62,32.715366,10.38712,67856.5099142226,0.499
"Thailand",2006,5.32,2.53977195,1.56,60.40123,2.170928,27463.2231157798,0.727
"Togo",2006,3.04,2.25963314,5.12,30.938213,12.640325,68657.7211583582,0.463
"Tonga",2006,1.5,4.87918392,4.1,24.554884,2.014024,33716.8000588594,0.716
"Trinidad and Tobago",2006,39.91,2.2319773,1.78,509.55637,3.609143,31559.4726915522,0.773
"Tunisia",2006,3.26,2.95506622,2,193.49022,2.600626,26570.5638177973,0.718
"Turkey",2006,5.48,3.97103967,2.24,167.20926,3.134896,26823.3939666567,0.753
"Turkmenistan",2006,16.85,1.54554851,2.65,420.35367,7.216876,45548.6730600425,0.68
"Uganda",2006,1.38,2.47235711,6.51,60.270672,11.965784,76640.6020235271,0.49
"Ukraine",2006,9.25,3.88456923,1.3,167.21156,1.715413,38407.2119177287,0.738
"United Arab Emirates",2006,28.97,1.38250695,2.07,564.02002,1.148026,31936.63629869,0.841
"United Kingdom",2006,10.82,6.82659841,1.8,266.64099,0.699351,21624.4426352725,0.899
"United States",2006,23.44,6.88253254,2.11,917.29987,0.938815,24784.5939786683,0.917
"Uruguay",2006,10.22,7.24502509,2.14,151.1973,1.576895,25386.5192478413,0.782
"Uzbekistan",2006,6.55,2.45480339,2.46,82.582695,4.954258,41515.3297147567,0.674
"Vanuatu",2006,2.01,3.42744532,3.76,7.700757,3.37461,50624.9135907492,0.592
"Venezuela",2006,9.39,2.22177012,2.6,329.88873,2.133735,27522.8294313994,0.771
"Vietnam",2006,2.75,1.94486753,1.9,66.695244,2.869065,29761.8534781402,0.664
"Yemen",2006,1.65,1.52160194,5.25,139.43471,7.736109,48884.6893848593,0.499
"Zambia",2006,25.42,2.75584562,5.72,35.085091,12.168235,92168.3345969635,0.556
"Afghanistan",2005,0.59,0.80191917,6.83,77.874046,12.068981,75879.6138008017,0.463
"Albania",2005,2.76,2.70645544,1.75,190.89818,2.044324,26644.8284181533,0.741
"Algeria",2005,4.39,2.28023307,2.5,99.717537,3.842915,28867.146615211,0.729
"Angola",2005,1.83,2.02464638,6.47,55.596294,19.434718,75616.546323121,0.52
"Antigua and Barbuda",2005,5.09,2.95009859,2.22,202.09125,1.43712,25948.4525178758,0.766
"Argentina",2005,9.16,3.66423385,2.45,347.74924,1.915545,26607.6104406411,0.813
"Armenia",2005,2.82,1.9050534,1.4,242.98039,2.505806,28900.8969776457,0.728
"Australia",2005,44.58,5.66144848,1.86,556.55231,0.679373,20128.983105304,0.923
"Austria",2005,11.86,7.83141883,1.41,622.14209,0.599461,20819.6579271367,0.895
"Azerbaijan",2005,5.67,0.88090538,1.82,456.41699,5.59816,42287.0643767543,0.74
"Bahamas",2005,11.71,2.64218965,1.86,395.96719,1.86468,29430.4808372931,0.789
"Bahrain",2005,26.35,2.15652224,2.45,263.46136,1.337111,26943.2901929602,0.796
"Bangladesh",2005,1.05,0.96680014,2.61,27.089907,7.64718,45718.7611733214,0.545
"Belarus",2005,9.31,5.02273829,1.32,132.67664,1.097875,38088.860518827,0.792
"Belgium",2005,13.05,7.11274823,1.76,544.42035,0.6194,21818.477233592,0.903
"Belize",2005,7.14,2.6479511,3.07,100.45576,2.48164,32336.1055632707,0.699
"Benin",2005,6.09,2.35247989,5.63,31.680857,14.992017,63163.7581107636,0.473
"Bhutan",2005,2.46,4.16637576,2.84,25.569345,6.854108,40201.4767927371,0.566
"Bolivia",2005,33.91,3.86074079,3.6,63.223938,6.820914,40245.2171605609,0.649
"Bosnia and Herzegovina",2005,5.5,4.86592866,1.29,257.23309,1.028754,25361.2503901061,0.713
"Botswana",2005,13.03,4.09047919,2.99,34.953728,7.99808,84876.6786826373,0.66
"Brazil",2005,12.77,3.43190885,1.98,315.69998,2.792281,32288.2487636506,0.727
"Brunei",2005,30.04,2.21589715,1.85,298.66577,1.416895,26406.3422104644,0.842
"Bulgaria",2005,8.95,4.31297146,1.34,274.54443,1.616143,30187.1089875271,0.779
"Burkina Faso",2005,3.56,4.09177599,6.27,15.388816,18.336814,75976.2538937539,0.375
"Burundi",2005,0.71,2.93779643,6.69,24.203941,16.423224,96196.685808748,0.395
"Cambodia",2005,7.63,1.61821874,3.23,73.225372,7.74511,50738.8747910725,0.537
"Cameroon",2005,9.23,1.12007918,5.35,80.559296,16.066384,74320.3525626705,0.506
"Canada",2005,26.3,6.72355953,1.57,503.76279,0.729268,20556.5429570226,0.902
"Cape Verde",2005,0.76,3.64999052,3.13,48.746132,3.000006,34592.7683097023,0.629
"Central African Republic",2005,110.35,2.11468994,5.38,14.617121,18.439129,118194.872490287,0.351
"Chad",2005,12.3,1.55797137,7.07,43.614071,20.050413,83421.8502551292,0.371
"Chile",2005,6.29,2.53629152,1.98,357.47333,1.108252,23675.1889175681,0.808
"China",2005,5.99,1.80592031,1.57,121.24387,2.75136,27766.1313326257,0.706
"Colombia",2005,3.48,4.31601708,2.2,81.580727,2.541576,26375.7296488092,0.719
"Comoros",2005,0.79,2.27405185,5.22,105.43649,10.660652,48502.6175247415,0.482
"Congo",2005,10.47,1.43460851,5.04,41.177181,10.501227,73304.7343701258,0.557
"Costa Rica",2005,2.38,5.46571206,2.07,215.41048,1.257795,21077.7916126155,0.754
"Cote d'Ivoire",2005,1.43,1.26971949,5.42,77.196548,15.31936,77416.3618924377,0.442
"Croatia",2005,6.72,5.93061726,1.38,141.50739,0.809062,25462.2995452911,0.808
"Cyprus",2005,8.67,2.66267721,1.52,757.64886,0.639232,22055.8295796527,0.85
"Czechia",2005,14.45,6.05404438,1.3,155.60349,0.579384,24568.2625546746,0.862
"Democratic Republic of Congo",2005,14.51,0.75246216,6.71,8.7833033,16.699461,77192.2657447857,0.407
"Denmark",2005,11.96,8.25325496,1.8,457.31851,0.57952,21942.6476671556,0.91
"Djibouti",2005,2.76,4.93946776,3.87,37.976086,9.367136,54372.562945831,0.449
"Dominican Republic",2005,3.17,1.48594905,2.75,194.75644,4.11344,32301.6409139444,0.703
"Ecuador",2005,3.43,1.30987544,2.79,269.39682,2.749056,29770.0429217956,0.715
"Egypt",2005,3.18,1.98504099,3.02,238.0844,4.072672,41136.0804916091,0.665
"El Salvador",2005,1.91,3.81255309,2.53,191.70448,2.95825,32329.795722747,0.671
"Equatorial Guinea",2005,7.49,0.91398212,5.56,83.869995,15.738172,60483.8511455148,0.581
"Eritrea",2005,1.13,1.09593914,4.94,27.149988,8.5758,78565.1739113724,0.416
"Estonia",2005,14.8,3.85004156,1.54,168.08563,0.938367,30413.4223605816,0.845
"Eswatini",2005,2.66,4.59198891,3.87,53.308781,14.12811,125059.138943459,0.538
"Ethiopia",2005,2.61,2.58033435,5.69,8.3859959,14.13149,69691.4635579945,0.412
"Fiji",2005,2.23,2.93605582,2.86,28.199018,2.89614,43665.4641568026,0.711
"Finland",2005,14.53,6.22186548,1.8,486.17892,0.489556,22441.4605457231,0.903
"France",2005,8.82,8.26633717,1.94,231.04686,0.569494,19942.1072203655,0.882
"Gabon",2005,10.11,1.11498098,4.23,207.315,9.051115,62204.3625442949,0.665
"Gambia",2005,2.08,2.897599,5.84,14.016288,11.509875,56114.5182978827,0.441
"Georgia",2005,2.67,1.64850458,1.66,269.74222,2.752192,30068.6761896619,0.735
"Germany",2005,11.9,8.00670184,1.35,472.36795,0.579483,20654.9380467425,0.921
"Ghana",2005,5.25,2.92394495,4.49,115.73186,10.234026,60139.9823299388,0.554
"Grenada",2005,5.46,2.9189364,2.34,264.75214,1.666334,27732.0693115664,0.743
"Guatemala",2005,3.19,2.15193385,3.97,222.12267,4.776996,38304.0330493652,0.611
"Guinea",2005,8.46,0.55486584,5.73,27.535694,15.797916,74536.8696439084,0.404
"Guinea-Bissau",2005,4.04,1.08353819,5.39,31.301231,16.797335,82863.4669113334,0.426
"Guyana",2005,6.55,4.35965865,2.84,55.536114,4.581696,43203.9945134165,0.63
"Haiti",2005,0.87,0.93849496,3.76,35.258312,10.75843,61666.9834229895,0.47
"Honduras",2005,3.15,3.90589865,3.45,121.14458,3.513128,33592.474089094,0.596
"Hungary",2005,7.49,5.7983159,1.3,351.58142,0.9088,29828.0293078259,0.823
"Iceland",2005,13.41,7.49948502,2.07,589.05426,0.429648,18668.4545340551,0.891
"India",2005,1.85,1.1342577,2.97,79.353096,8.54209,48503.2450419996,0.581
"Indonesia",2005,5.17,0.803211,2.51,92.583435,4.878122,39023.7068153318,0.661
"Iran",2005,8.19,2.3334582,1.83,403.23648,2.998906,32686.4309196209,0.755
"Iraq",2005,4.61,2.78387228,4.56,85.008934,4.714107,39817.3209386944,0.649
"Ireland",2005,16.85,5.52072419,1.98,424.06128,0.639376,21465.0201473706,0.909
"Israel",2005,10.3,4.40842582,2.91,561.50366,0.689272,20198.0611120473,0.887
"Italy",2005,9.73,6.64414757,1.36,543.8009,0.559505,19216.6719558561,0.87
"Jamaica",2005,4.85,1.98584492,2.36,99.213394,2.353132,24580.4101493695,0.712
"Japan",2005,11.27,6.65745957,1.31,384.4418,0.46963,17607.4712720204,0.885
