"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Nigeria",2011,1.82,1.15161125,5.8,130.50723,14.561967,63648.2782186153,0.53
"North Macedonia",2011,6.1,4.27293274,1.47,271.5083,1.178455,24247.1032969303,0.756
"Norway",2011,12.96,7.71723079,1.88,835.33875,0.389752,20234.3950118608,0.951
"Oman",2011,18.75,2.03956652,2.9,116.44132,1.377355,27467.9035235847,0.822
"Pakistan",2011,2.08,0.9197683,3.8,67.839859,9.918768,50760.9032983246,0.56
"Panama",2011,4.28,5.08973241,2.61,343.8775,2.28337,24192.9669316947,0.785
"Papua New Guinea",2011,1.5,4.04134722,3.93,8.859766,7.433359,70164.1170432323,0.543
"Paraguay",2011,8.02,3.76591917,2.68,215.66794,2.910348,28115.5989414371,0.702
"Peru",2011,2.46,2.62414031,2.53,190.21181,2.342046,24458.5606858933,0.748
"Philippines",2011,1.72,1.30636297,3.11,141.37326,3.797443,37829.137647223,0.696
"Poland",2011,11.11,4.71035577,1.36,341.23834,0.689272,24708.6009629843,0.86
"Portugal",2011,6.82,6.70065608,1.31,670.28888,0.489582,20201.9861080861,0.845
"Qatar",2011,51.68,1.50593141,2.03,349.48462,1.108042,23432.4577080799,0.855
"Romania",2011,6.26,4.37807867,1.48,203.74632,1.367288,28006.4261827437,0.807
"Russia",2011,19.43,3.58245544,1.59,396.63022,1.297071,36568.2201214515,0.815
"Rwanda",2011,0.63,2.8108059,4.39,30.827019,7.418225,47435.5637040326,0.52
"Saint Lucia",2011,3.35,3.26298108,1.52,462.99057,2.114693,26901.0353099836,0.745
"Saint Vincent and the Grenadines",2011,2.84,4.09298348,2.05,88.866814,2.411759,30485.2952861497,0.721
"Samoa",2011,1.86,5.10168264,4.28,37.745899,2.232785,30626.9942996503,0.711
"Sao Tome and Principe",2011,1.07,2.60531259,4.74,35.3857,5.2471,39776.9409806012,0.584
"Saudi Arabia",2011,18.24,2.49588716,2.87,281.35892,1.347424,27334.9332262322,0.854
"Senegal",2011,4.05,2.2798394,5.04,37.377045,8.106678,46003.3988952569,0.499
"Seychelles",2011,10.11,3.19877168,2.37,34.812576,1.705996,28322.4009877656,0.793
"Sierra Leone",2011,1.77,2.6469335,5.06,80.866341,17.88253,74454.810543375,0.413
"Singapore",2011,10.5,1.34647904,1.26,929.91119,0.369748,16100.0999183241,0.93
"Slovenia",2011,10.48,6.67355048,1.54,301.59586,0.3997,21094.1325938993,0.894
"Solomon Islands",2011,8.41,4.69625037,4.17,5.6678791,2.958048,47390.6839737672,0.543
"South Korea",2011,13.02,3.82134521,1.21,765.35529,0.50956,18970.0497725122,0.9
"Spain",2011,7.57,7.00106113,1.35,615.60876,0.46963,17822.881337497,0.889
"Sri Lanka",2011,1.47,1.38092651,2.17,102.29447,1.485856,24926.9403157486,0.768
"Sudan",2011,13.93,2.55734351,4.83,171.32104,8.534728,44789.3966210419,0.499
"Suriname",2011,4.89,2.92140552,2.5,100.9455,2.750956,33856.7327816432,0.719
